,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted,Unnamed: 16,Unnamed: 17,Unnamed: 18
72,Masters Elementary,2012-2013,360.0,322.0,48.0,2.0,107.0,173.0,3.0,,27.0,187,247.0,14.0,68.0,49.0,,,
73,Miller Park Elementary*,2012-2013,368.0,316.0,41.0,3.0,245.0,39.0,1.0,,39.0,329,352.0,11.0,59.0,56.0,,,
74,Minne Lusa Elementary*,2012-2013,448.0,493.0,46.0,0.0,242.0,129.0,,,31.0,319,401.0,3.0,76.0,17.0,,,
75,Morton Magnet,2012-2013,93.0,90.0,6.0,1.0,28.0,50.0,1.0,,7.0,43,55.0,,13.0,13.0,,,
76,Mount View Elementary*,2012-2013,387.0,420.0,30.0,3.0,278.0,38.0,6.0,,32.0,349,359.0,11.0,77.0,43.0,,,
77,Norris Middle,2012-2013,133.0,153.0,108.0,3.0,7.0,13.0,,,2.0,120,127.0,33.0,18.0,5.0,,,
78,Oak Valley Elementary*,2012-2013,292.0,268.0,96.0,2.0,60.0,115.0,1.0,2.0,16.0,177,226.0,61.0,75.0,33.0,,,
79,Pawnee Elementary,2012-2013,589.0,594.0,282.0,1.0,42.0,239.0,9.0,,16.0,350,426.0,173.0,48.0,86.0,,,
80,Picotte Elementary,2012-2013,526.0,535.0,35.0,1.0,47.0,387.0,21.0,,35.0,139,143.0,7.0,93.0,145.0,,,
81,Pinewood Elementary*,2012-2013,288.0,290.0,33.0,2.0,117.0,106.0,15.0,,15.0,182,187.0,7.0,55.0,40.0,,,
82,Ponca Elementary,2012-2013,158.0,145.0,32.0,0.0,11.0,109.0,,,6.0,49,83.0,8.0,23.0,18.0,,,
83,Prairie Wind Elementary,2012-2013,769.0,838.0,66.0,8.0,241.0,359.0,26.0,,69.0,410,455.0,35.0,106.0,97.0,,,
84,Rose Hill Elementary,2012-2013,333.0,359.0,40.0,2.0,70.0,151.0,57.0,,13.0,182,248.0,57.0,53.0,44.0,,,
85,Saddlebrook Elementary,2012-2013,501.0,530.0,34.0,2.0,38.0,380.0,19.0,,28.0,121,52.0,3.0,74.0,119.0,,,
86,Saratoga Elementary*,2012-2013,224.0,227.0,17.0,9.0,164.0,17.0,,,17.0,207,215.0,4.0,37.0,22.0,,,
87,Sherman Elementary*,2012-2013,242.0,238.0,116.0,6.0,15.0,94.0,,,11.0,148,228.0,53.0,49.0,19.0,,,
88,Skinner Magnet,2012-2013,408.0,426.0,40.0,4.0,284.0,50.0,4.0,1.0,25.0,358,357.0,12.0,59.0,35.0,,,
89,Spring Lake Magnet*,2012-2013,801.0,744.0,646.0,8.0,23.0,107.0,2.0,5.0,10.0,694,706.0,414.0,105.0,90.0,,,
90,Springville Elementary,2012-2013,424.0,445.0,43.0,9.0,115.0,196.0,9.0,4.0,48.0,228,184.0,9.0,43.0,63.0,,,
91,Standing Bear Elementary*,2012-2013,587.0,610.0,39.0,3.0,44.0,439.0,41.0,,21.0,148,151.0,16.0,95.0,97.0,,,
92,Sunny Slope Elementary*,2012-2013,465.0,456.0,46.0,2.0,127.0,259.0,8.0,,23.0,206,276.0,15.0,87.0,54.0,,,
93,Wakonda Elementary*,2012-2013,305.0,291.0,23.0,5.0,223.0,30.0,6.0,1.0,17.0,275,284.0,7.0,68.0,12.0,,,
94,Walnut Hill Elementary,2012-2013,438.0,439.0,111.0,6.0,161.0,66.0,67.0,,27.0,372,422.0,122.0,51.0,40.0,,,
95,Washington Elementary*,2012-2013,290.0,284.0,61.0,2.0,44.0,159.0,12.0,1.0,11.0,131,162.0,22.0,62.0,30.0,,,
96,Western Hills Magnet,2012-2013,391.0,378.0,47.0,1.0,133.0,176.0,6.0,,28.0,215,305.0,32.0,79.0,49.0,,,
97,Wilson Focus School,2012-2013,176.0,180.0,20.0,1.0,71.0,76.0,3.0,,5.0,100,92.0,5.0,21.0,50.0,,,
98,Early Childhood Center,2012-2013,34.0,,23.0,,2.0,8.0,,,1.0,26,29.0,0.0,12.0,0.0,,,73.14
99,Early Childhood Educare,2012-2013,170.0,,21.0,,114.0,22.0,1.0,,12.0,148,170.0,0.0,10.0,0.0,,,
100,Early Childhood @ Indian Hill,2012-2013,188.0,,149.0,2.0,12.0,16.0,2.0,2.0,5.0,172,188.0,0.0,20.0,0.0,,,
101,Early Childhood@ Yates,2012-2013,75.0,,22.0,12.0,5.0,11.0,21.0,,4.0,64,54.0,0.0,27.0,0.0,,,
102,Homebased PK*,2012-2013,237.0,,72.0,1.0,24.0,119.0,5.0,2.0,14.0,118,,0.0,232.0,0.0,,,
103,Homebound,2012-2013,,,,,,,,,,0,,0.0,,0.0,,,
104,Integrated Learning Program at DH,2012-2013,22.0,,1.0,1.0,10.0,8.0,,,2.0,14,21.0,0.0,22.0,0.0,,,
105,Interim/Contracted Elementary,2012-2013,41.0,,16.0,,10.0,14.0,,,1.0,27,7.0,0.0,39.0,0.0,,,
106,"Lord, JP",2012-2013,29.0,29.0,9.0,1.0,10.0,8.0,1.0,,,21,19.0,0.0,29.0,0.0,,,
107,Parrish Elementary,2012-2013,,,,,,,,,,0,0.0,0.0,,0.0,,,
