,Unnamed: 0,entity_type,entity,demographic,demographic_type,variable,value,statement_id,statement,subscale,entity_first_x,entity_id,entity_parent,entity_first_y
39,268.0,E,BANCROFT ELEMENTARY,ELL,ELL,-1,5.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
40,269.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,-1,2.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
41,270.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,-1,9.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
42,516.0,E,BANCROFT ELEMENTARY,ELL,ELL,0,10.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
43,517.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,0,7.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
44,518.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,0,37.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
45,764.0,E,BANCROFT ELEMENTARY,ELL,ELL,1,12.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
46,765.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,1,16.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
47,766.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,1,48.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
48,1012.0,E,BANCROFT ELEMENTARY,ELL,ELL,2,5.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
49,1013.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,2,10.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
50,1014.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,2,29.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
51,1260.0,E,BANCROFT ELEMENTARY,ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
52,1261.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
53,1262.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
54,1508.0,E,BANCROFT ELEMENTARY,ELL,ELL,disagree,6.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
55,1509.0,E,BANCROFT ELEMENTARY,Former ELL,ELL,disagree,2.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
56,1510.0,E,BANCROFT ELEMENTARY,Not ELL,ELL,disagree,11.0,Q34,The atmosphere at this school is positive,School Climate,BANCROFT,1204,OPS,BANCROFT
