,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted
52,Dundee Elementary,2013-2014,579,539,90,2,52,348,31.0,1,55.0,231,266,53.0,75,184
53,Edison Elementary,2013-2014,406,355,52,4,123,156,33.0,0,38.0,250,297,50.0,94,69
54,Field Club Elementary,2013-2014,603,598,410,6,47,110,13.0,1,16.0,493,537,316.0,74,58
55,Florence Elementary,2013-2014,303,298,34,2,68,178,1.0,0,20.0,125,228,21.0,48,62
56,Fontenelle Elementary*,2013-2014,614,642,83,3,349,90,50.0,0,39.0,524,564,86.0,101,79
57,Franklin Elementary,2013-2014,298,238,62,7,159,13,33.0,0,24.0,285,291,53.0,58,28
58,Fullerton Magnet,2013-2014,568,531,71,3,127,316,12.0,2,37.0,252,232,35.0,124,133
59,Gateway Elementary,2013-2014,755,676,553,15,24,150,2.0,0,11.0,605,645,268.0,146,111
60,Gilder Elementary,2013-2014,445,458,233,8,39,152,0.0,0,13.0,293,377,125.0,61,87
61,Gomez Heritage Elementary*,2013-2014,833,831,728,12,21,59,4.0,1,8.0,774,757,451.0,99,123
62,Harrison Elementary,2013-2014,338,335,35,3,74,161,46.0,0,19.0,177,184,56.0,58,75
63,Hartman Elementary*,2013-2014,449,448,44,3,177,86,106.0,0,33.0,363,389,110.0,70,49
64,Highland Elementary*,2013-2014,459,449,377,4,47,23,3.0,0,5.0,436,431,199.0,63,68
65,Indian Hill Elementary*,2013-2014,603,582,386,14,135,46,1.0,1,20.0,557,572,222.0,97,85
66,Jackson Elementary*,2013-2014,249,260,202,3,10,10,20.0,0,4.0,239,236,131.0,33,30
67,Jefferson Elementary,2013-2014,536,543,301,3,40,162,9.0,0,21.0,374,447,145.0,76,119
68,Joslyn Elementary*,2013-2014,438,431,48,5,82,248,26.0,0,29.0,190,222,31.0,63,84
69,Kellom Elementary*,2013-2014,432,450,146,7,167,54,43.0,0,15.0,378,388,138.0,76,42
70,Kennedy Elementary*,2013-2014,303,248,23,3,160,29,77.0,0,11.0,274,295,60.0,42,26
71,King Elementary*,2013-2014,338,325,52,5,212,41,7.0,1,20.0,297,316,28.0,67,32
72,King Science Magnet,2013-2014,217,208,26,0,114,62,2.0,0,13.0,155,169,3.0,40,48
73,Liberty Elementary*,2013-2014,678,632,464,7,75,100,9.0,0,23.0,578,646,334.0,111,62
74,Lothrop Magnet Elementary*,2013-2014,316,291,43,1,214,29,0.0,0,29.0,287,289,17.0,53,58
75,Marrs Magnet,2013-2014,575,351,489,7,11,57,1.0,0,10.0,518,514,128.0,86,152
76,Masters Elementary,2013-2014,316,341,33,2,105,150,3.0,0,23.0,166,227,13.0,67,50
77,Miller Park Elementary*,2013-2014,379,459,31,3,258,56,1.0,0,30.0,323,359,11.0,63,70
78,Minne Lusa Elementary*,2013-2014,431,92,39,5,215,137,1.0,0,34.0,294,389,1.0,88,33
