,Unnamed: 16,Unnamed: 17,Unnamed: 18,amer_indian,asian,black,ell,frl,gifted,hispanic,multi_racial,pac_islander,projected_enroll,school,school_year,spec_ed,total_enroll,total_minority,white
4,,,,10.0,1.0,,230.0,,,,23.0,0.0,,Bancroft Elementary*,2013-2014,,,,
5,,,,3.0,33.0,,98.0,,,,32.0,0.0,,Beals Elementary*,2013-2014,,,,
6,,,,0.0,27.0,,75.0,,,,18.0,0.0,,Belle Ryan Elementary*,2013-2014,,,,
7,,,,2.0,6.0,,24.0,,,,25.0,0.0,,Belvedere Elementary*,2013-2014,,,,
8,,,,14.0,121.0,,124.0,,,,97.0,5.0,,Benson Magnet,2013-2014,,,,
9,,,,4.0,60.0,,86.0,,,,44.0,1.0,,Benson West Elementary,2013-2014,,,,
10,,,,8.0,44.0,,54.0,,,,29.0,1.0,,Beveridge Magnet,2013-2014,,,,
11,,,,2.0,,,2.0,,,,15.0,0.0,,Blackburn High,2013-2014,,,,
12,,,,2.0,27.0,,44.0,,,,39.0,0.0,,Boyd Elementary*,2013-2014,,,,
13,,,,12.0,47.0,,130.0,,,,57.0,3.0,,Bryan High,2013-2014,,,,
14,,,,20.0,12.0,,41.0,,,,19.0,2.0,,Bryan Middle,2013-2014,,,,
15,,,,12.0,80.0,,41.0,,,,124.0,4.0,,Burke High,2013-2014,,,,
16,,,,9.0,0.0,,321.0,,,,6.0,0.0,,Castelar Elementary*,2013-2014,,,,
17,,,,3.0,4.0,,30.0,,,,13.0,1.0,,Catlin Magnet,2013-2014,,,,
18,,,,21.0,92.0,,94.0,,,,198.0,3.0,,Central High,2013-2014,,,,
19,,,,2.0,16.0,,17.0,,,,35.0,0.0,,Central Park Elementary*,2013-2014,,,,
20,,,,8.0,6.0,,203.0,,,,31.0,2.0,,Chandler View Elementary,2013-2014,,,,
21,,,,1.0,7.0,,11.0,,,,10.0,0.0,,Columbian Elementary*,2013-2014,,,,
22,,,,4.0,6.0,,40.0,,,,25.0,0.0,,Conestoga Magnet,2013-2014,,,,
23,,,,1.0,10.0,,130.0,,,,14.0,0.0,,Crestridge Magnet,2013-2014,,,,
24,,,,2.0,3.0,,3.0,,,,30.0,0.0,,Davis Middle,2013-2014,,,,
25,,,,5.0,11.0,,15.0,,,,20.0,5.0,,Dodge Elementary*,2013-2014,,,,
26,,,,4.0,17.0,,43.0,,,,19.0,1.0,,Druid Hill Elementary*,2013-2014,,,,
27,,,,2.0,31.0,,53.0,,,,55.0,1.0,,Dundee Elementary,2013-2014,,,,
28,,,,1.0,27.0,,49.0,,,,,2.0,,ESL Teen Literacy,2013-2014,,,,
29,,,,1.0,1.0,,0.0,,,,4.0,0.0,,Early Childhood Center @ Gateway,2013-2014,,,,
30,,,,0.0,0.0,,0.0,,,,0.0,0.0,,Early Childhood Educare @ Conestoga,2013-2014,,,,
31,,,,0.0,1.0,,0.0,,,,5.0,2.0,,Early Childhood Educare @ Indian Hill,2013-2014,,,,
32,,,,0.0,1.0,,0.0,,,,13.0,0.0,,Early Childhood Educare @ Kellom,2013-2014,,,,
33,,,,8.0,22.0,,0.0,,,,5.0,0.0,,Early Childhood@ Yates,2013-2014,,,,
34,,,,4.0,33.0,,50.0,,,,38.0,0.0,,Edison Elementary,2013-2014,,,,
35,,,,6.0,13.0,,316.0,,,,16.0,1.0,,Field Club Elementary,2013-2014,,,,
36,,,,2.0,1.0,,21.0,,,,20.0,0.0,,Florence Elementary,2013-2014,,,,
37,,,,3.0,50.0,,86.0,,,,39.0,0.0,,Fontenelle Elementary*,2013-2014,,,,
38,,,,7.0,33.0,,53.0,,,,24.0,0.0,,Franklin Elementary,2013-2014,,,,
39,,,,3.0,12.0,,35.0,,,,37.0,2.0,,Fullerton Magnet,2013-2014,,,,
40,,,,15.0,2.0,,268.0,,,,11.0,0.0,,Gateway Elementary,2013-2014,,,,
41,,,,0.0,0.0,,0.0,,,,1.0,0.0,,Gateway to College,2013-2014,,,,
42,,,,8.0,0.0,,125.0,,,,13.0,0.0,,Gilder Elementary,2013-2014,,,,
43,,,,12.0,4.0,,451.0,,,,8.0,1.0,,Gomez Heritage Elementary*,2013-2014,,,,
44,,,,6.0,5.0,,0.0,,,,22.0,1.0,,Hale Middle,2013-2014,,,,
45,,,,3.0,46.0,,56.0,,,,19.0,0.0,,Harrison Elementary,2013-2014,,,,
46,,,,3.0,106.0,,110.0,,,,33.0,0.0,,Hartman Elementary*,2013-2014,,,,
47,,,,4.0,3.0,,199.0,,,,5.0,0.0,,Highland Elementary*,2013-2014,,,,
48,,,,0.0,3.0,,0.0,,,,21.0,2.0,,Homebased PK*,2013-2014,,,,
49,,,,0.0,0.0,,0.0,,,,0.0,0.0,,Homebound,2013-2014,,,,
50,,,,5.0,3.0,,3.0,,,,12.0,0.0,,Independent Study Program,2013-2014,,,,
51,,,,14.0,1.0,,222.0,,,,20.0,1.0,,Indian Hill Elementary*,2013-2014,,,,
52,,,,3.0,0.0,,0.0,,,,8.0,0.0,,Integrated Learning Program at DH,2013-2014,,,,
53,,,,0.0,0.0,,0.0,,,,1.0,0.0,,Interim/Contracted Elementary,2013-2014,,,,
54,,,,8.0,2.0,,1.0,,,,15.0,0.0,,Interim/Contracted Secondary,2013-2014,,,,
55,,,,0.0,0.0,,0.0,,,,0.0,0.0,,J P Lord,2013-2014,,,,
56,,,,3.0,20.0,,131.0,,,,4.0,0.0,,Jackson Elementary*,2013-2014,,,,
57,,,,3.0,9.0,,145.0,,,,21.0,0.0,,Jefferson Elementary,2013-2014,,,,
58,,,,5.0,26.0,,31.0,,,,29.0,0.0,,Joslyn Elementary*,2013-2014,,,,
59,,,,7.0,43.0,,138.0,,,,15.0,0.0,,Kellom Elementary*,2013-2014,,,,
60,,,,3.0,77.0,,60.0,,,,11.0,0.0,,Kennedy Elementary*,2013-2014,,,,
61,,,,5.0,7.0,,28.0,,,,20.0,1.0,,King Elementary*,2013-2014,,,,
62,,,,2.0,8.0,,5.0,,,,32.0,0.0,,King Science Magnet,2013-2014,,,,
63,,,,4.0,91.0,,83.0,,,,34.0,1.0,,Lewis & Clark Middle,2013-2014,,,,
64,,,,7.0,9.0,,334.0,,,,23.0,0.0,,Liberty Elementary*,2013-2014,,,,
65,,,,1.0,2.0,,0.0,,,,0.0,0.0,,"Lord, JP",2013-2014,,,,
66,,,,1.0,0.0,,17.0,,,,29.0,0.0,,Lothrop Magnet Elementary*,2013-2014,,,,
67,,,,11.0,12.0,,197.0,,,,19.0,1.0,,Marrs Magnet,2013-2014,,,,
68,,,,2.0,3.0,,13.0,,,,23.0,0.0,,Masters Elementary,2013-2014,,,,
69,,,,6.0,10.0,,7.0,,,,32.0,0.0,,McMillan Magnet,2013-2014,,,,
70,,,,3.0,1.0,,11.0,,,,30.0,0.0,,Miller Park Elementary*,2013-2014,,,,
71,,,,5.0,1.0,,1.0,,,,34.0,0.0,,Minne Lusa Elementary*,2013-2014,,,,
72,,,,3.0,32.0,,18.0,,,,27.0,0.0,,Monroe Middle,2013-2014,,,,
73,,,,8.0,11.0,,2.0,,,,40.0,0.0,,Morton Magnet,2013-2014,,,,
74,,,,3.0,10.0,,6.0,,,,38.0,0.0,,Mount View Elementary*,2013-2014,,,,
75,,,,20.0,8.0,,86.0,,,,29.0,1.0,,Norris Middle,2013-2014,,,,
76,,,,21.0,28.0,,5.0,,,,136.0,2.0,,North Magnet,2013-2014,,,,
77,,,,11.0,60.0,,70.0,,,,99.0,3.0,,Northwest High,2013-2014,,,,
78,,,,2.0,3.0,,73.0,,,,16.0,2.0,,Oak Valley Elementary*,2013-2014,,,,
79,,,,2.0,0.0,,0.0,,,,3.0,0.0,,Parrish,2013-2014,,,,
80,,,,0.0,0.0,,0.0,,,,0.0,0.0,,Parrish Elementary,2013-2014,,,,
81,,,,1.0,6.0,,111.0,,,,14.0,0.0,,Pawnee Elementary,2013-2014,,,,
82,,,,1.0,24.0,,13.0,,,,38.0,0.0,,Picotte Elementary,2013-2014,,,,
83,,,,1.0,10.0,,5.0,,,,14.0,1.0,,Pinewood Elementary*,2013-2014,,,,
84,,,,0.0,1.0,,7.0,,,,6.0,0.0,,Ponca Elementary,2013-2014,,,,
85,,,,6.0,26.0,,34.0,,,,68.0,0.0,,Prairie Wind Elementary,2013-2014,,,,
86,,,,4.0,81.0,,83.0,,,,13.0,0.0,,Rose Hill Elementary,2013-2014,,,,
87,,,,3.0,16.0,,5.0,,,,29.0,0.0,,Saddlebrook Elementary,2013-2014,,,,
88,,,,8.0,2.0,,6.0,,,,17.0,0.0,,Saratoga Elementary*,2013-2014,,,,
89,,,,0.0,0.0,,0.0,,,,0.0,0.0,,Secondary Success Program,2013-2014,,,,
90,,,,3.0,0.0,,46.0,,,,8.0,6.0,,Sherman Elementary*,2013-2014,,,,
91,,,,7.0,13.0,,26.0,,,,27.0,2.0,,Skinner Magnet,2013-2014,,,,
92,,,,41.0,94.0,,200.0,,,,70.0,0.0,,South Magnet,2013-2014,,,,
93,,,,8.0,3.0,,449.0,,,,13.0,0.0,,Spring Lake Magnet*,2013-2014,,,,
94,,,,9.0,20.0,,16.0,,,,48.0,4.0,,Springville Elementary,2013-2014,,,,
95,,,,1.0,33.0,,19.0,,,,33.0,0.0,,Standing Bear Elementary*,2013-2014,,,,
96,,,,2.0,9.0,,22.0,,,,32.0,3.0,,Sunny Slope Elementary*,2013-2014,,,,
97,,,,132.0,522.0,,664.0,,,,781.0,20.0,,Total Senior High,2013-2014,,,,
98,,,,3.0,5.0,,0.0,,,,9.0,0.0,,Transition Program at PVA&CC,2013-2014,,,,
99,,,,1.0,0.0,,0.0,,,,2.0,0.0,,UNO/OPS Middle College Program,2013-2014,,,,
100,,,,8.0,9.0,,11.0,,,,25.0,2.0,,Wakonda Elementary*,2013-2014,,,,
101,,,,7.0,98.0,,155.0,,,,24.0,0.0,,Walnut Hill Elementary,2013-2014,,,,
102,,,,3.0,11.0,,28.0,,,,11.0,0.0,,Washington Elementary*,2013-2014,,,,
103,,,,0.0,5.0,,32.0,,,,29.0,0.0,,Western Hills Magnet,2013-2014,,,,
104,,,,0.0,6.0,,8.0,,,,7.0,1.0,,Wilson Focus School,2013-2014,,,,
0,,,,5.0,52.0,208.0,7.0,,188.0,,78.0,0.0,,A. Buffett Magnet,2014-2015,144.0,,,
1,,,,3.0,2.0,61.0,4.0,,,,9.0,1.0,,Accelere,2014-2015,19.0,,,
2,,,,5.0,7.0,86.0,31.0,,65.0,,21.0,1.0,,Adams Elementary,2014-2015,57.0,,,
3,,,,11.0,5.0,47.0,270.0,,21.0,,16.0,,,Ashland Park/Robbins*,2014-2015,181.0,,,
4,,,,7.0,1.0,23.0,254.0,,56.0,,18.0,,,Bancroft Elementary*,2014-2015,126.0,,,
5,,,,1.0,39.0,33.0,94.0,,47.0,,34.0,,,Beals Elementary*,2014-2015,75.0,,,
6,,,,2.0,29.0,66.0,66.0,,44.0,,25.0,,,Belle Ryan Elementary*,2014-2015,70.0,,,
7,,,,2.0,9.0,382.0,28.0,,17.0,,29.0,,,Belvedere Elementary*,2014-2015,82.0,,,
8,,,,14.0,153.0,387.0,161.0,,112.0,,83.0,7.0,,Benson Magnet,2014-2015,201.0,,,
9,,,,4.0,88.0,186.0,111.0,,51.0,,37.0,,,Benson West Elementary,2014-2015,92.0,,,
10,,,,8.0,39.0,105.0,52.0,,76.0,,29.0,2.0,,Beveridge Magnet,2014-2015,134.0,,,
11,,,,1.0,0.0,105.0,,,,,9.0,0.0,,Blackburn High,2014-2015,48.0,,,
12,,,,3.0,33.0,185.0,49.0,,27.0,,41.0,,,Boyd Elementary*,2014-2015,81.0,,,
13,,,,12.0,41.0,195.0,119.0,,155.0,,50.0,2.0,,Bryan High,2014-2015,264.0,,,
14,,,,21.0,9.0,92.0,48.0,,221.0,,19.0,2.0,,Bryan Middle,2014-2015,153.0,,,
15,,,,15.0,81.0,409.0,31.0,,588.0,,108.0,3.0,,Burke High,2014-2015,277.0,,,
16,,,,11.0,,11.0,351.0,,54.0,,9.0,,,Castelar Elementary*,2014-2015,61.0,,,
17,,,,3.0,3.0,25.0,34.0,,49.0,,12.0,1.0,,Catlin Magnet,2014-2015,47.0,,,
18,,,,25.0,115.0,571.0,121.0,,607.0,,173.0,2.0,,Central High,2014-2015,273.0,,,
19,,,,2.0,23.0,339.0,19.0,,44.0,,28.0,,,Central Park Elementary*,2014-2015,72.0,,,
20,,,,5.0,6.0,67.0,211.0,,110.0,,35.0,2.0,,Chandler View Elementary,2014-2015,150.0,,,
21,,,,3.0,12.0,44.0,13.0,,66.0,,16.0,,,Columbian Elementary*,2014-2015,63.0,,,
22,,,,3.0,10.0,271.0,30.0,,29.0,,22.0,,,Conestoga Magnet,2014-2015,79.0,,,
23,,,,1.0,15.0,40.0,135.0,,62.0,,15.0,,,Crestridge Magnet,2014-2015,62.0,,,
24,,,,6.0,10.0,162.0,4.0,,85.0,,46.0,0.0,,Davis Middle,2014-2015,104.0,,,
25,,,,4.0,11.0,97.0,30.0,,30.0,,24.0,4.0,,Dodge Elementary*,2014-2015,86.0,,,
26,,,,3.0,16.0,234.0,36.0,,18.0,,22.0,,,Druid Hill Elementary*,2014-2015,93.0,,,
27,,,,4.0,23.0,48.0,54.0,,104.0,,48.0,,,Dundee Elementary,2014-2015,78.0,,,
28,,,,1.0,33.0,7.0,87.0,,3.0,,1.0,0.0,,ESL Teen Literacy,2014-2015,3.0,,,
29,,,,,,,0.0,,0.0,,,,,Early Childhood Center @ Gateway,2014-2015,,,,
30,,,,,,,0.0,,0.0,,,,,Early Childhood Educare @ Conestoga,2014-2015,,,,
31,,,,0.0,1.0,10.0,0.0,,0.0,,3.0,0.0,,Early Childhood Educare @ Indian Hill,2014-2015,17.0,,,
32,,,,0.0,2.0,96.0,0.0,,0.0,,14.0,0.0,,Early Childhood Educare @ Kellom,2014-2015,21.0,,,
33,,,,9.0,24.0,2.0,0.0,,0.0,,5.0,0.0,,Early Childhood@ Yates,2014-2015,17.0,,,
34,,,,7.0,39.0,135.0,49.0,,58.0,,33.0,,,Edison Elementary,2014-2015,90.0,,,
35,,,,6.0,17.0,41.0,309.0,,33.0,,27.0,2.0,,Field Club Elementary,2014-2015,89.0,,,
36,,,,5.0,2.0,70.0,25.0,,33.0,,21.0,,,Florence Elementary,2014-2015,47.0,,,
37,,,,5.0,97.0,350.0,120.0,,76.0,,46.0,,,Fontenelle Elementary*,2014-2015,117.0,,,
38,,,,8.0,45.0,157.0,66.0,,35.0,,20.0,,,Franklin Elementary,2014-2015,55.0,,,
39,,,,2.0,16.0,123.0,45.0,,100.0,,44.0,2.0,,Fullerton Magnet,2014-2015,119.0,,,
40,,,,10.0,6.0,30.0,321.0,,45.0,,19.0,,,Gateway Elementary,2014-2015,156.0,,,
41,,,,0.0,0.0,9.0,,,1.0,,3.0,0.0,,Gateway to College,2014-2015,2.0,,,
42,,,,3.0,1.0,37.0,105.0,,40.0,,14.0,,,Gilder Elementary,2014-2015,67.0,,,
43,,,,9.0,5.0,17.0,462.0,,87.0,,18.0,1.0,,Gomez Heritage Elementary*,2014-2015,98.0,,,
44,,,,7.0,10.0,168.0,2.0,,47.0,,27.0,1.0,,Hale Middle,2014-2015,84.0,,,
45,,,,4.0,50.0,73.0,63.0,,49.0,,33.0,1.0,,Harrison Elementary,2014-2015,74.0,,,
46,,,,5.0,121.0,195.0,125.0,,25.0,,26.0,1.0,,Hartman Elementary*,2014-2015,91.0,,,
47,,,,4.0,1.0,45.0,203.0,,44.0,,6.0,,,Highland Elementary*,2014-2015,61.0,,,
48,,,,0.0,7.0,38.0,0.0,,0.0,,15.0,0.0,,Homebased PK*,2014-2015,243.0,,,
49,,,,0.0,0.0,3.0,0.0,,0.0,,1.0,0.0,,Homebound,2014-2015,6.0,,,
50,,,,4.0,4.0,75.0,7.0,,1.0,,16.0,0.0,,Independent Study Program,2014-2015,55.0,,,
51,,,,9.0,,149.0,252.0,,48.0,,20.0,1.0,,Indian Hill Elementary*,2014-2015,97.0,,,
52,,,,4.0,0.0,50.0,0.0,,2.0,,7.0,0.0,,Integrated Learning Program at DH,2014-2015,117.0,,,
53,,,,6.0,2.0,80.0,0.0,,0.0,,16.0,1.0,,Interim/Contracted Elementary,2014-2015,29.0,,,
54,,,,0.0,1.0,10.0,3.0,,4.0,,3.0,0.0,,Interim/Contracted Secondary,2014-2015,98.0,,,
55,,,,0.0,0.0,9.0,,,,,1.0,0.0,,J P Lord,2014-2015,32.0,,,
56,,,,3.0,11.0,10.0,126.0,,27.0,,3.0,,,Jackson Elementary*,2014-2015,34.0,,,
57,,,,4.0,6.0,34.0,156.0,,63.0,,20.0,,,Jefferson Elementary,2014-2015,91.0,,,
58,,,,3.0,42.0,86.0,38.0,,45.0,,38.0,,,Joslyn Elementary*,2014-2015,52.0,,,
59,,,,11.0,34.0,179.0,129.0,,43.0,,16.0,,,Kellom Elementary*,2014-2015,75.0,,,
60,,,,3.0,73.0,164.0,57.0,,16.0,,14.0,,,Kennedy Elementary*,2014-2015,50.0,,,
61,,,,4.0,10.0,219.0,32.0,,36.0,,24.0,3.0,,King Elementary*,2014-2015,57.0,,,
62,,,,5.0,7.0,255.0,9.0,,42.0,,32.0,1.0,,King Science Magnet,2014-2015,103.0,,,
63,,,,10.0,99.0,222.0,83.0,,183.0,,26.0,1.0,,Lewis & Clark Middle,2014-2015,134.0,,,
64,,,,7.0,5.0,83.0,328.0,,47.0,,24.0,1.0,,Liberty Elementary*,2014-2015,102.0,,,
65,,,,1.0,2.0,6.0,0.0,,0.0,,0.0,0.0,,"Lord, JP",2014-2015,30.0,,,
66,,,,1.0,2.0,210.0,19.0,,39.0,,32.0,,,Lothrop Magnet Elementary*,2014-2015,58.0,,,
67,,,,17.0,8.0,45.0,187.0,,295.0,,19.0,0.0,,Marrs Magnet,2014-2015,192.0,,,
68,,,,1.0,6.0,120.0,18.0,,33.0,,26.0,,,Masters Elementary,2014-2015,69.0,,,
69,,,,6.0,6.0,207.0,4.0,,97.0,,28.0,2.0,,McMillan Magnet,2014-2015,91.0,,,
70,,,,2.0,5.0,275.0,16.0,,53.0,,36.0,,,Miller Park Elementary*,2014-2015,72.0,,,
71,,,,5.0,1.0,197.0,9.0,,37.0,,37.0,2.0,,Minne Lusa Elementary*,2014-2015,74.0,,,
72,,,,7.0,95.0,283.0,62.0,,11.0,,38.0,0.0,,Monroe Middle,2014-2015,148.0,,,
73,,,,4.0,4.0,247.0,2.0,,61.0,,35.0,1.0,,Morton Magnet,2014-2015,116.0,,,
74,,,,3.0,21.0,274.0,18.0,,25.0,,43.0,,,Mount View Elementary*,2014-2015,77.0,,,
75,,,,16.0,14.0,90.0,111.0,,19.0,,40.0,2.0,,Norris Middle,2014-2015,217.0,,,
76,,,,18.0,31.0,640.0,6.0,,350.0,,121.0,1.0,,North Magnet,2014-2015,224.0,,,
77,,,,14.0,101.0,652.0,110.0,,189.0,,102.0,3.0,,Northwest High,2014-2015,285.0,,,
78,,,,3.0,,68.0,67.0,,28.0,,11.0,2.0,,Oak Valley Elementary*,2014-2015,78.0,,,
79,,,,0.0,1.0,13.0,,,1.0,,3.0,0.0,,Parrish,2014-2015,10.0,,,
80,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,Parrish Elementary,2014-2015,0.0,,,
81,,,,1.0,7.0,36.0,106.0,,56.0,,16.0,,,Pawnee Elementary,2014-2015,55.0,,,
82,,,,,18.0,36.0,11.0,,98.0,,22.0,1.0,,Picotte Elementary,2014-2015,66.0,,,
83,,,,1.0,11.0,107.0,6.0,,14.0,,11.0,1.0,,Pinewood Elementary*,2014-2015,51.0,,,
84,,,,1.0,1.0,8.0,3.0,,33.0,,9.0,,,Ponca Elementary,2014-2015,19.0,,,
85,,,,3.0,28.0,215.0,49.0,,70.0,,58.0,,,Prairie Wind Elementary,2014-2015,104.0,,,
86,,,,4.0,75.0,54.0,67.0,,35.0,,20.0,,,Rose Hill Elementary,2014-2015,51.0,,,
87,,,,3.0,15.0,40.0,4.0,,81.0,,31.0,1.0,,Saddlebrook Elementary,2014-2015,83.0,,,
88,,,,1.0,7.0,146.0,12.0,,17.0,,17.0,,,Saratoga Elementary*,2014-2015,46.0,,,
89,,,,0.0,0.0,7.0,1.0,,,,0.0,0.0,,Secondary Success Program,2014-2015,1.0,,,
90,,,,2.0,3.0,5.0,50.0,,21.0,,6.0,,,Sherman Elementary*,2014-2015,57.0,,,
91,,,,3.0,17.0,284.0,28.0,,44.0,,24.0,2.0,,Skinner Magnet,2014-2015,74.0,,,
92,,,,35.0,77.0,248.0,227.0,,357.0,,53.0,1.0,,South Magnet,2014-2015,287.0,,,
93,,,,5.0,2.0,23.0,460.0,,38.0,,10.0,,,Spring Lake Magnet*,2014-2015,101.0,,,
94,,,,9.0,19.0,119.0,18.0,,47.0,,60.0,3.0,,Springville Elementary,2014-2015,44.0,,,
95,,,,,25.0,51.0,18.0,,89.0,,41.0,,,Standing Bear Elementary*,2014-2015,67.0,,,
96,,,,4.0,11.0,164.0,18.0,,55.0,,37.0,3.0,,Sunny Slope Elementary*,2014-2015,74.0,,,
97,,,,0.0,0.0,10.0,,,,,3.0,0.0,,Transition Program at Career Center,2014-2015,23.0,,,
98,,,,0.0,0.0,1.0,,,,,0.0,0.0,,Transition Program at Embassy Suites,2014-2015,9.0,,,
99,,,,1.0,1.0,18.0,,,,,3.0,0.0,,Transition Program at PVA,2014-2015,62.0,,,
100,,,,1.0,2.0,4.0,,,,,2.0,0.0,,Transition Program at Saratoga,2014-2015,18.0,,,
101,,,,0.0,0.0,2.0,,,7.0,,5.0,0.0,,UNO/OPS Middle College Program,2014-2015,0.0,,,
102,,,,5.0,22.0,251.0,21.0,,43.0,,25.0,1.0,,Wakonda Elementary*,2014-2015,91.0,,,
103,,,,5.0,115.0,153.0,159.0,,49.0,,22.0,1.0,,Walnut Hill Elementary,2014-2015,35.0,,,
104,,,,7.0,20.0,53.0,36.0,,44.0,,19.0,,,Washington Elementary*,2014-2015,66.0,,,
105,,,,,6.0,144.0,35.0,,42.0,,23.0,,,Western Hills Magnet,2014-2015,75.0,,,
106,,,,,9.0,70.0,11.0,,52.0,,12.0,1.0,,Wilson Focus School,2014-2015,31.0,,,
0,,,,1.0,55.0,198.0,8.0,,,,74.0,1.0,,A. Buffett Magnet,2015-2016,155.0,,,
1,,,,2.0,4.0,46.0,8.0,,,,11.0,0.0,,Accelere,2015-2016,27.0,,,
2,,,,3.0,11.0,119.0,37.0,,,,17.0,1.0,,Adams Elementary,2015-2016,63.0,,,
3,,,,8.0,4.0,43.0,267.0,,,,11.0,0.0,,Ashland Park/Robbins*,2015-2016,192.0,,,
4,,,,6.0,3.0,24.0,234.0,,,,23.0,0.0,,Bancroft Elementary*,2015-2016,109.0,,,
5,,,,0.0,33.0,31.0,80.0,,,,34.0,0.0,,Beals Elementary*,2015-2016,62.0,,,
6,,,,1.0,34.0,70.0,72.0,,,,13.0,0.0,,Belle Ryan Elementary*,2015-2016,65.0,,,
7,,,,0.0,14.0,363.0,32.0,,,,32.0,0.0,,Belvedere Elementary*,2015-2016,77.0,,,
8,,,,11.0,206.0,475.0,207.0,,,,63.0,10.0,,Benson Magnet,2015-2016,248.0,,,
9,,,,3.0,107.0,164.0,113.0,,,,50.0,0.0,,Benson West Elementary,2015-2016,97.0,,,
10,,,,2.0,34.0,77.0,38.0,,,,28.0,2.0,,Beveridge Magnet,2015-2016,103.0,,,
11,,,,3.0,0.0,71.0,,,,,8.0,0.0,,Blackburn High,2015-2016,39.0,,,
12,,,,3.0,43.0,174.0,49.0,,,,47.0,0.0,,Boyd Elementary*,2015-2016,95.0,,,
13,,,,14.0,54.0,220.0,140.0,,,,41.0,1.0,,Bryan High,2015-2016,285.0,,,
14,,,,10.0,12.0,84.0,47.0,,,,20.0,0.0,,Bryan Middle,2015-2016,152.0,,,
15,,,,14.0,76.0,417.0,29.0,,,,105.0,4.0,,Burke High,2015-2016,286.0,,,
16,,,,7.0,0.0,7.0,368.0,,,,11.0,0.0,,Castelar Elementary*,2015-2016,58.0,,,
17,,,,2.0,3.0,29.0,16.0,,,,9.0,0.0,,Catlin Magnet,2015-2016,47.0,,,
18,,,,33.0,92.0,555.0,94.0,,,,156.0,3.0,,Central High,2015-2016,262.0,,,
19,,,,2.0,19.0,325.0,19.0,,,,23.0,1.0,,Central Park Elementary*,2015-2016,73.0,,,
20,,,,5.0,7.0,76.0,177.0,,,,46.0,2.0,,Chandler View Elementary,2015-2016,141.0,,,
21,,,,2.0,13.0,39.0,11.0,,,,19.0,0.0,,Columbian Elementary*,2015-2016,53.0,,,
22,,,,5.0,15.0,263.0,32.0,,,,17.0,0.0,,Conestoga Magnet,2015-2016,64.0,,,
23,,,,2.0,17.0,41.0,122.0,,,,22.0,2.0,,Crestridge Magnet,2015-2016,77.0,,,
24,,,,6.0,15.0,153.0,6.0,,,,57.0,2.0,,Davis Middle,2015-2016,108.0,,,
25,,,,5.0,19.0,130.0,32.0,,,,39.0,4.0,,Dodge Elementary*,2015-2016,84.0,,,
26,,,,0.0,19.0,224.0,33.0,,,,22.0,0.0,,Druid Hill Elementary*,2015-2016,95.0,,,
27,,,,3.0,33.0,44.0,46.0,,,,58.0,2.0,,Dundee Elementary,2015-2016,82.0,,,
28,,,,1.0,35.0,11.0,104.0,,,,1.0,0.0,,ESL Teen Literacy,2015-2016,2.0,,,
29,,,,,,,0.0,,0.0,,,,,Early Childhood Center @ Gateway,2015-2016,,,,
30,,,,,,,0.0,,0.0,,,,,Early Childhood Educare @ Conestoga,2015-2016,,,,
31,,,,0.0,1.0,10.0,,,,,2.0,1.0,,Early Childhood Educare @ Indian Hill,2015-2016,13.0,,,
32,,,,0.0,0.0,74.0,,,,,7.0,1.0,,Early Childhood Educare @ Kellom,2015-2016,12.0,,,
33,,,,7.0,28.0,5.0,,,,,4.0,1.0,,Early Childhood@ Yates,2015-2016,26.0,,,
34,,,,5.0,35.0,137.0,55.0,,,,34.0,0.0,,Edison Elementary,2015-2016,83.0,,,
35,,,,8.0,16.0,51.0,252.0,,,,18.0,1.0,,Field Club Elementary,2015-2016,82.0,,,
36,,,,5.0,2.0,63.0,21.0,,,,22.0,0.0,,Florence Elementary,2015-2016,47.0,,,
37,,,,3.0,132.0,318.0,126.0,,,,44.0,0.0,,Fontenelle Elementary*,2015-2016,122.0,,,
38,,,,7.0,41.0,161.0,62.0,,,,20.0,0.0,,Franklin Elementary,2015-2016,57.0,,,
39,,,,4.0,16.0,95.0,47.0,,,,41.0,1.0,,Fullerton Magnet,2015-2016,98.0,,,
40,,,,10.0,4.0,20.0,302.0,,,,22.0,2.0,,Gateway Elementary,2015-2016,164.0,,,
41,,,,0.0,0.0,6.0,,,,,0.0,0.0,,Gateway to College,2015-2016,1.0,,,
42,,,,2.0,3.0,43.0,104.0,,,,18.0,0.0,,Gilder Elementary,2015-2016,68.0,,,
43,,,,8.0,1.0,6.0,407.0,,,,10.0,0.0,,Gomez Heritage Elementary*,2015-2016,97.0,,,
44,,,,4.0,16.0,174.0,2.0,,,,22.0,0.0,,Hale Middle,2015-2016,82.0,,,
45,,,,6.0,53.0,59.0,55.0,,,,27.0,0.0,,Harrison Elementary,2015-2016,66.0,,,
46,,,,4.0,151.0,165.0,122.0,,,,37.0,1.0,,Hartman Elementary*,2015-2016,97.0,,,
47,,,,3.0,2.0,48.0,193.0,,,,11.0,0.0,,Highland Elementary*,2015-2016,78.0,,,
48,,,,1.0,6.0,25.0,,,,,10.0,3.0,,Homebased PK*,2015-2016,235.0,,,
49,,,,1.0,0.0,5.0,,,,,1.0,0.0,,Homebound,2015-2016,15.0,,,
50,,,,1.0,0.0,72.0,3.0,,,,14.0,0.0,,Independent Study Program,2015-2016,48.0,,,
