,Unnamed: 16,Unnamed: 17,Unnamed: 18,amer_indian,asian,black,ell,frl,gifted,hispanic,multi_racial,pac_islander,projected_enroll,school,school_year,spec_ed,total_enroll,total_minority,white
53,,,,2.0,10.0,4.0,166.0,,21.0,,5.0,0.0,,Jackson Elementary*,2011-2012,34.0,,,
54,,,,4.0,18.0,44.0,191.0,,96.0,,24.0,1.0,,Jefferson Elementary,2011-2012,67.0,,,
55,,,,4.0,19.0,71.0,30.0,,93.0,,26.0,0.0,,Joslyn Elementary*,2011-2012,65.0,,,
56,,,,5.0,49.0,156.0,152.0,,24.0,,23.0,0.0,,Kellom Elementary*,2011-2012,90.0,,,
57,,,,1.0,49.0,202.0,59.0,,13.0,,11.0,0.0,,Kennedy Elementary*,2011-2012,43.0,,,
58,,,,1.0,2.0,220.0,21.0,,60.0,,16.0,0.0,,King Elementary*,2011-2012,54.0,,,
59,,,,7.0,8.0,306.0,9.0,,72.0,,28.0,0.0,,King Science Magnet,2011-2012,84.0,,,
60,,,,11.0,48.0,197.0,59.0,,59.0,,33.0,1.0,,Lewis & Clark Middle,2011-2012,143.0,,,
61,,,,9.0,5.0,90.0,285.0,,63.0,,21.0,0.0,,Liberty Elementary*,2011-2012,92.0,,,
62,,,,1.0,1.0,9.0,0.0,,0.0,,0.0,0.0,,"Lord, JP",2011-2012,29.0,,,
63,,,,4.0,3.0,241.0,9.0,,22.0,,16.0,0.0,,Lothrop Magnet Elementary*,2011-2012,65.0,,,
64,,,,16.0,9.0,39.0,322.0,,118.0,,26.0,3.0,,Marrs Magnet,2011-2012,118.0,,,
65,,,,2.0,2.0,91.0,15.0,,39.0,,20.0,0.0,,Masters Elementary,2011-2012,58.0,,,
66,,,,4.0,9.0,221.0,7.0,,83.0,,52.0,1.0,,McMillan Magnet,2011-2012,106.0,,,
67,,,,2.0,1.0,253.0,13.0,,49.0,,32.0,0.0,,Miller Park Elementary*,2011-2012,57.0,,,
68,,,,6.0,1.0,258.0,7.0,,64.0,,27.0,0.0,,Minne Lusa Elementary*,2011-2012,80.0,,,
69,,,,6.0,14.0,251.0,18.0,,18.0,,52.0,2.0,,Monroe Middle,2011-2012,105.0,,,
70,,,,8.0,11.0,241.0,14.0,,92.0,,69.0,1.0,,Morton Magnet,2011-2012,114.0,,,
71,,,,3.0,2.0,325.0,6.0,,35.0,,40.0,0.0,,Mount View Elementary*,2011-2012,83.0,,,
72,,,,14.0,6.0,61.0,81.0,,63.0,,37.0,1.0,,Norris Middle,2011-2012,139.0,,,
73,,,,22.0,35.0,672.0,11.0,,210.0,,176.0,3.0,,North Magnet,2011-2012,228.0,,,
74,,,,17.0,15.0,489.0,46.0,,67.0,,126.0,0.0,,Northwest High,2011-2012,202.0,,,
75,,,,5.0,2.0,41.0,66.0,,29.0,,10.0,4.0,,Oak Valley Elementary*,2011-2012,77.0,,,
76,,,,0.0,1.0,36.0,3.0,,,,7.0,0.0,,Parrish,2011-2012,17.0,,,
77,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,Parrish Elementary,2011-2012,0.0,,,
78,,,,1.0,15.0,44.0,193.0,,96.0,,15.0,0.0,,Pawnee Elementary,2011-2012,59.0,,,
79,,,,1.0,22.0,41.0,13.0,,132.0,,38.0,1.0,,Picotte Elementary,2011-2012,114.0,,,
80,,,,1.0,11.0,97.0,7.0,,15.0,,17.0,0.0,,Pinewood Elementary*,2011-2012,55.0,,,
81,,,,2.0,0.0,12.0,8.0,,44.0,,4.0,0.0,,Ponca Elementary,2011-2012,14.0,,,
82,,,,9.0,18.0,235.0,22.0,,90.0,,85.0,0.0,,Prairie Wind Elementary,2011-2012,100.0,,,
83,,,,5.0,55.0,77.0,59.0,,67.0,,11.0,0.0,,Rose Hill Elementary,2011-2012,44.0,,,
84,,,,2.0,16.0,37.0,2.0,,83.0,,27.0,0.0,,Saddlebrook Elementary,2011-2012,55.0,,,
85,,,,11.0,0.0,193.0,2.0,,31.0,,17.0,0.0,,Saratoga Elementary*,2011-2012,45.0,,,
86,,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,,Secondary Success Program,2011-2012,1.0,,,
87,,,,5.0,0.0,6.0,55.0,,34.0,,11.0,0.0,,Sherman Elementary*,2011-2012,48.0,,,
88,,,,3.0,1.0,302.0,5.0,,42.0,,29.0,1.0,,Skinner Magnet,2011-2012,69.0,,,
89,,,,25.0,103.0,246.0,240.0,,67.0,,76.0,1.0,,South Magnet,2011-2012,275.0,,,
90,,,,9.0,3.0,23.0,399.0,,83.0,,14.0,1.0,,Spring Lake Magnet*,2011-2012,88.0,,,
91,,,,10.0,7.0,120.0,13.0,,60.0,,39.0,1.0,,Springville Elementary,2011-2012,34.0,,,
92,,,,4.0,38.0,41.0,15.0,,101.0,,19.0,0.0,,Standing Bear Elementary*,2011-2012,76.0,,,
93,,,,1.0,8.0,120.0,15.0,,81.0,,24.0,1.0,,Sunny Slope Elementary*,2011-2012,72.0,,,
94,,,,1.0,1.0,21.0,0.0,,,,9.0,0.0,,Transition Program at PVA&CC,2011-2012,93.0,,,
95,,,,8.0,4.0,239.0,9.0,,37.0,,15.0,0.0,,Wakonda Elementary*,2011-2012,70.0,,,
96,,,,9.0,55.0,156.0,115.0,,50.0,,30.0,0.0,,Walnut Hill Elementary,2011-2012,42.0,,,
97,,,,4.0,12.0,44.0,24.0,,30.0,,18.0,1.0,,Washington Elementary*,2011-2012,68.0,,,
98,,,,1.0,7.0,125.0,35.0,,24.0,,26.0,0.0,,Western Hills Magnet,2011-2012,74.0,,,
99,,,,1.0,6.0,59.0,3.0,,48.0,,3.0,0.0,,Wilson Focus School,2011-2012,20.0,,,
0,,,,10.0,38.0,213.0,15.0,429.0,532.0,114.0,82.0,0.0,1389.0,A. Buffett Magnet,2012-2013,156.0,1345.0,457.0,888.0
1,,,,3.0,1.0,79.0,5.0,133.0,1.0,34.0,10.0,0.0,,Accelere,2012-2013,21.0,163.0,127.0,36.0
2,,,,6.0,8.0,87.0,28.0,209.0,45.0,33.0,16.0,4.0,271.0,Adams Elementary,2012-2013,51.0,299.0,154.0,145.0
3,,,,20.0,12.0,45.0,355.0,997.0,117.0,785.0,41.0,0.0,1171.0,Ashland Park/Robbins*,2012-2013,253.0,1171.0,903.0,268.0
4,,,,9.0,2.0,24.0,206.0,651.0,48.0,487.0,23.0,0.0,743.0,Bancroft Elementary*,2012-2013,93.0,724.0,545.0,179.0
5,,,,5.0,31.0,47.0,98.0,324.0,87.0,164.0,26.0,3.0,442.0,Beals Elementary*,2012-2013,65.0,427.0,276.0,151.0
6,,,,1.0,23.0,38.0,64.0,231.0,40.0,105.0,18.0,0.0,294.0,Belle Ryan Elementary*,2012-2013,59.0,292.0,185.0,107.0
7,,,,1.0,5.0,414.0,21.0,541.0,30.0,54.0,32.0,0.0,530.0,Belvedere Elementary*,2012-2013,66.0,573.0,506.0,67.0
8,,,,13.0,92.0,451.0,93.0,922.0,69.0,154.0,101.0,7.0,1158.0,Benson Magnet,2012-2013,204.0,1132.0,818.0,314.0
9,,,,5.0,35.0,178.0,56.0,491.0,57.0,80.0,41.0,0.0,582.0,Benson West Elementary,2012-2013,81.0,603.0,339.0,264.0
10,,,,9.0,42.0,136.0,65.0,508.0,165.0,226.0,30.0,,768.0,Beveridge Magnet,2012-2013,125.0,749.0,443.0,306.0
11,,,,3.0,0.0,81.0,,126.0,,25.0,11.0,0.0,,Blackburn High,2012-2013,40.0,133.0,120.0,13.0
12,,,,7.0,25.0,174.0,35.0,327.0,68.0,60.0,37.0,0.0,564.0,Boyd Elementary*,2012-2013,65.0,532.0,303.0,229.0
13,,,,12.0,40.0,208.0,119.0,1330.0,142.0,897.0,64.0,2.0,1657.0,Bryan High,2012-2013,255.0,1611.0,1223.0,388.0
14,,,,14.0,7.0,90.0,29.0,614.0,33.0,421.0,19.0,,734.0,Bryan Middle,2012-2013,132.0,732.0,551.0,181.0
15,,,,16.0,66.0,395.0,41.0,952.0,518.0,302.0,151.0,3.0,2024.0,Burke High,2012-2013,251.0,2117.0,933.0,1184.0
16,,,,10.0,0.0,13.0,299.0,519.0,37.0,490.0,5.0,0.0,576.0,Castelar Elementary*,2012-2013,57.0,564.0,518.0,46.0
17,,,,1.0,4.0,18.0,25.0,150.0,65.0,73.0,11.0,1.0,233.0,Catlin Magnet,2012-2013,48.0,266.0,108.0,158.0
18,,,,23.0,73.0,663.0,63.0,1415.0,436.0,475.0,222.0,1.0,2510.0,Central High,2012-2013,287.0,2432.0,1457.0,975.0
19,,,,0.0,21.0,340.0,16.0,410.0,58.0,15.0,35.0,0.0,455.0,Central Park Elementary*,2012-2013,66.0,452.0,411.0,41.0
20,,,,9.0,6.0,74.0,182.0,605.0,120.0,385.0,36.0,3.0,666.0,Chandler View Elementary,2012-2013,145.0,735.0,513.0,222.0
21,,,,3.0,7.0,29.0,7.0,94.0,99.0,32.0,11.0,3.0,332.0,Columbian Elementary*,2012-2013,58.0,337.0,85.0,252.0
22,,,,2.0,3.0,257.0,28.0,352.0,21.0,71.0,15.0,0.0,358.0,Conestoga Magnet,2012-2013,78.0,370.0,348.0,22.0
23,,,,1.0,11.0,52.0,87.0,254.0,64.0,187.0,14.0,0.0,428.0,Crestridge Magnet,2012-2013,58.0,435.0,265.0,170.0
24,,,,4.0,9.0,91.0,15.0,243.0,54.0,44.0,20.0,5.0,351.0,Dodge Elementary*,2012-2013,82.0,381.0,173.0,208.0
25,,,,3.0,17.0,253.0,37.0,352.0,9.0,22.0,22.0,0.0,311.0,Druid Hill Elementary*,2012-2013,94.0,362.0,317.0,45.0
26,,,,2.0,20.0,45.0,42.0,238.0,122.0,78.0,50.0,1.0,545.0,Dundee Elementary,2012-2013,78.0,537.0,196.0,341.0
27,,,,0.0,31.0,7.0,49.0,48.0,,10.0,1.0,0.0,,ESL Teen Literacy,2012-2013,1.0,49.0,49.0,0.0
28,,,,2.0,2.0,12.0,0.0,188.0,0.0,149.0,5.0,2.0,,Early Childhood @ Indian Hill,2012-2013,20.0,188.0,172.0,16.0
29,,,73.14,0.0,0.0,2.0,0.0,29.0,0.0,23.0,1.0,0.0,,Early Childhood Center,2012-2013,12.0,34.0,26.0,8.0
30,,,,0.0,1.0,114.0,0.0,170.0,0.0,21.0,12.0,0.0,,Early Childhood Educare,2012-2013,10.0,170.0,148.0,22.0
31,,,,12.0,21.0,5.0,0.0,54.0,0.0,22.0,4.0,0.0,,Early Childhood@ Yates,2012-2013,27.0,75.0,64.0,11.0
32,,,,4.0,29.0,109.0,40.0,267.0,62.0,46.0,31.0,0.0,362.0,Edison Elementary,2012-2013,92.0,371.0,219.0,152.0
33,,,,13.0,10.0,45.0,298.0,510.0,53.0,385.0,18.0,1.0,688.0,Field Club Elementary,2012-2013,66.0,580.0,472.0,108.0
34,,,,4.0,0.0,63.0,22.0,213.0,53.0,38.0,21.0,0.0,295.0,Florence Elementary,2012-2013,54.0,287.0,126.0,161.0
35,,,,4.0,35.0,369.0,78.0,567.0,55.0,80.0,50.0,0.0,664.0,Fontenelle Elementary*,2012-2013,101.0,627.0,538.0,89.0
36,,,,5.0,44.0,133.0,54.0,266.0,24.0,59.0,11.0,0.0,251.0,Franklin Elementary,2012-2013,43.0,267.0,252.0,15.0
37,,,,2.0,12.0,103.0,33.0,206.0,111.0,65.0,37.0,2.0,567.0,Fullerton Magnet,2012-2013,108.0,546.0,221.0,325.0
38,,,,1.0,1.0,11.0,,17.0,2.0,5.0,6.0,0.0,,Gateway to College,2012-2013,5.0,40.0,24.0,16.0
39,,,,6.0,0.0,46.0,132.0,380.0,44.0,224.0,12.0,0.0,456.0,Gilder Elementary,2012-2013,54.0,452.0,288.0,164.0
40,,,,11.0,2.0,7.0,407.0,724.0,92.0,720.0,2.0,1.0,849.0,Gomez Heritage Elementary*,2012-2013,93.0,808.0,743.0,65.0
41,,,,9.0,5.0,211.0,3.0,307.0,8.0,30.0,21.0,1.0,404.0,Hale Middle,2012-2013,87.0,364.0,277.0,87.0
42,,,,4.0,42.0,65.0,60.0,174.0,51.0,35.0,20.0,1.0,332.0,Harrison Elementary,2012-2013,54.0,324.0,167.0,157.0
43,,,,4.0,83.0,165.0,92.0,372.0,30.0,42.0,31.0,0.0,399.0,Hartman Elementary*,2012-2013,79.0,427.0,325.0,102.0
44,,,,8.0,5.0,48.0,224.0,501.0,67.0,441.0,5.0,0.0,552.0,Highland Elementary*,2012-2013,79.0,537.0,507.0,30.0
45,,,,1.0,5.0,24.0,0.0,,0.0,72.0,14.0,2.0,,Homebased PK*,2012-2013,232.0,237.0,118.0,119.0
46,,,,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,,Homebound,2012-2013,5.0,7.0,5.0,2.0
47,,,,6.0,1.0,126.0,11.0,259.0,2.0,110.0,26.0,1.0,,Independent Study Program,2012-2013,57.0,366.0,270.0,96.0
48,,,,14.0,2.0,145.0,191.0,565.0,40.0,364.0,18.0,1.0,615.0,Indian Hill Elementary*,2012-2013,77.0,585.0,544.0,41.0
49,,,,4.0,0.0,43.0,0.0,92.0,0.0,8.0,10.0,0.0,,Integrated Learning Program at DH,2012-2013,102.0,103.0,65.0,38.0
50,,,,,0.0,10.0,0.0,7.0,0.0,16.0,1.0,0.0,,Interim/Contracted Elementary,2012-2013,39.0,41.0,27.0,14.0
51,,,,4.0,1.0,90.0,,126.0,1.0,33.0,5.0,1.0,,Interim/Contracted Secondary,2012-2013,90.0,166.0,134.0,32.0
52,,,,0.0,0.0,9.0,,19.0,,12.0,1.0,0.0,,J P Lord,2012-2013,37.0,37.0,22.0,15.0
53,,,,5.0,17.0,6.0,140.0,232.0,11.0,211.0,4.0,0.0,281.0,Jackson Elementary*,2012-2013,28.0,255.0,243.0,12.0
54,,,,4.0,12.0,45.0,141.0,453.0,107.0,307.0,22.0,1.0,570.0,Jefferson Elementary,2012-2013,78.0,548.0,391.0,157.0
55,,,,5.0,22.0,72.0,21.0,197.0,60.0,49.0,35.0,0.0,454.0,Joslyn Elementary*,2012-2013,68.0,419.0,183.0,236.0
56,,,,5.0,43.0,155.0,144.0,399.0,42.0,164.0,17.0,0.0,439.0,Kellom Elementary*,2012-2013,86.0,422.0,384.0,38.0
57,,,,2.0,77.0,173.0,67.0,302.0,12.0,22.0,10.0,0.0,240.0,Kennedy Elementary*,2012-2013,45.0,306.0,284.0,22.0
58,,,,5.0,2.0,210.0,18.0,308.0,12.0,45.0,12.0,1.0,346.0,King Elementary*,2012-2013,64.0,328.0,275.0,53.0
59,,,,4.0,8.0,274.0,4.0,383.0,65.0,45.0,29.0,0.0,512.0,King Science Magnet,2012-2013,72.0,541.0,360.0,181.0
60,,,,8.0,73.0,185.0,71.0,486.0,72.0,123.0,44.0,2.0,680.0,Lewis & Clark Middle,2012-2013,124.0,673.0,435.0,238.0
61,,,,11.0,2.0,81.0,291.0,613.0,40.0,427.0,25.0,0.0,665.0,Liberty Elementary*,2012-2013,105.0,650.0,546.0,104.0
62,,,,1.0,1.0,10.0,0.0,19.0,0.0,9.0,0.0,0.0,29.0,"Lord, JP",2012-2013,29.0,29.0,21.0,8.0
63,,,,3.0,2.0,231.0,5.0,296.0,38.0,25.0,28.0,0.0,310.0,Lothrop Magnet Elementary*,2012-2013,66.0,319.0,289.0,30.0
64,,,,8.0,12.0,44.0,186.0,937.0,105.0,869.0,23.0,1.0,1074.0,Marrs Magnet,2012-2013,135.0,1081.0,957.0,124.0
65,,,,2.0,3.0,107.0,14.0,247.0,49.0,48.0,27.0,0.0,322.0,Masters Elementary,2012-2013,68.0,360.0,187.0,173.0
66,,,,4.0,10.0,248.0,8.0,422.0,66.0,80.0,46.0,,585.0,McMillan Magnet,2012-2013,107.0,567.0,388.0,179.0
67,,,,3.0,1.0,245.0,11.0,352.0,56.0,41.0,39.0,0.0,316.0,Miller Park Elementary*,2012-2013,59.0,368.0,329.0,39.0
68,,,,0.0,0.0,242.0,3.0,401.0,17.0,46.0,31.0,0.0,493.0,Minne Lusa Elementary*,2012-2013,76.0,448.0,319.0,129.0
69,,,,7.0,15.0,274.0,15.0,443.0,16.0,52.0,37.0,,497.0,Monroe Middle,2012-2013,105.0,488.0,385.0,103.0
70,,,,7.0,17.0,247.0,8.0,442.0,65.0,71.0,61.0,0.0,764.0,Morton Magnet,2012-2013,144.0,740.0,403.0,337.0
71,,,,3.0,6.0,278.0,11.0,359.0,43.0,30.0,32.0,0.0,420.0,Mount View Elementary*,2012-2013,77.0,387.0,349.0,38.0
72,,,,18.0,6.0,80.0,100.0,861.0,91.0,641.0,33.0,1.0,999.0,Norris Middle,2012-2013,162.0,938.0,779.0,159.0
73,,,,21.0,30.0,582.0,9.0,1023.0,253.0,168.0,138.0,2.0,1792.0,North Magnet,2012-2013,225.0,1617.0,941.0,676.0
74,,,,17.0,30.0,553.0,43.0,956.0,103.0,156.0,119.0,2.0,1187.0,Northwest High,2012-2013,217.0,1213.0,877.0,336.0
75,,,,2.0,1.0,60.0,61.0,226.0,33.0,96.0,16.0,2.0,268.0,Oak Valley Elementary*,2012-2013,75.0,292.0,177.0,115.0
76,,,,1.0,0.0,22.0,,33.0,,7.0,2.0,0.0,,Parrish,2012-2013,4.0,36.0,32.0,4.0
77,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Parrish Elementary,2012-2013,0.0,0.0,0.0,0.0
78,,,,1.0,9.0,42.0,173.0,426.0,86.0,282.0,16.0,0.0,594.0,Pawnee Elementary,2012-2013,48.0,589.0,350.0,239.0
79,,,,1.0,21.0,47.0,7.0,143.0,145.0,35.0,35.0,0.0,535.0,Picotte Elementary,2012-2013,93.0,526.0,139.0,387.0
80,,,,2.0,15.0,117.0,7.0,187.0,40.0,33.0,15.0,0.0,290.0,Pinewood Elementary*,2012-2013,55.0,288.0,182.0,106.0
81,,,,0.0,0.0,11.0,8.0,83.0,18.0,32.0,6.0,0.0,145.0,Ponca Elementary,2012-2013,23.0,158.0,49.0,109.0
82,,,,8.0,26.0,241.0,35.0,455.0,97.0,66.0,69.0,0.0,838.0,Prairie Wind Elementary,2012-2013,106.0,769.0,410.0,359.0
83,,,,2.0,57.0,70.0,57.0,248.0,44.0,40.0,13.0,0.0,359.0,Rose Hill Elementary,2012-2013,53.0,333.0,182.0,151.0
84,,,,2.0,19.0,38.0,3.0,52.0,119.0,34.0,28.0,0.0,530.0,Saddlebrook Elementary,2012-2013,74.0,501.0,121.0,380.0
85,,,,9.0,0.0,164.0,4.0,215.0,22.0,17.0,17.0,0.0,227.0,Saratoga Elementary*,2012-2013,37.0,224.0,207.0,17.0
86,,,,0.0,0.0,2.0,,2.0,,1.0,0.0,0.0,,Secondary Success Program,2012-2013,3.0,3.0,3.0,0.0
87,,,,6.0,0.0,15.0,53.0,228.0,19.0,116.0,11.0,0.0,238.0,Sherman Elementary*,2012-2013,49.0,242.0,148.0,94.0
88,,,,4.0,4.0,284.0,12.0,357.0,35.0,40.0,25.0,1.0,426.0,Skinner Magnet,2012-2013,59.0,408.0,358.0,50.0
89,,,,30.0,103.0,239.0,191.0,1970.0,180.0,1533.0,79.0,,2256.0,South Magnet,2012-2013,268.0,2222.0,1984.0,238.0
90,,,,8.0,2.0,23.0,414.0,706.0,90.0,646.0,10.0,5.0,744.0,Spring Lake Magnet*,2012-2013,105.0,801.0,694.0,107.0
91,,,,9.0,9.0,115.0,9.0,184.0,63.0,43.0,48.0,4.0,445.0,Springville Elementary,2012-2013,43.0,424.0,228.0,196.0
92,,,,3.0,41.0,44.0,16.0,151.0,97.0,39.0,21.0,0.0,610.0,Standing Bear Elementary*,2012-2013,95.0,587.0,148.0,439.0
93,,,,2.0,8.0,127.0,15.0,276.0,54.0,46.0,23.0,0.0,456.0,Sunny Slope Elementary*,2012-2013,87.0,465.0,206.0,259.0
94,,,,2.0,4.0,24.0,,71.0,,20.0,6.0,0.0,,Transition Program at PVA&CC,2012-2013,104.0,104.0,56.0,48.0
